reference_number,vendor,customer_name,street_address,contact_phone,postcode_region,commissioning_date,connectivity,service_tier,last_service_visit,vendor_canonical,reference_status,reference_canonical,unit_id,reference_resolution,connectivity_conflict
TH-02001-1,oem a,Manuela Niehaus,Gartenstraße 46,redacted,81,2024-11-26,connected,optimize,2025-02-07,A,suffix_variant,,TH-02001,telemetry_confirmed_suffix,False
  TH-02002 ,oem a,Holger Ebeling,Buchenkamp 65b,redacted,10,31.01.2026,connected,optimize,,A,canonical,TH-02002,TH-02002,resolved,False
02003,OEM_A,Manuela Sassenberg,Schulstraße 23a,redacted,13,08.10.2023,not_connected,care_plus,2024-08-16,A,digits_only,TH-02003,TH-02003,resolved,False
02004,OEM A,Rainer Gebhardt,Ostpreußenweg 56,redacted,13,2025-07-07,connected,free,2026-02-01,A,digits_only,TH-02004,TH-02004,resolved,False
TH-02005,oem a,Gerhard Niehaus,Gartenstraße 39,redacted,70,2025-09-12,connected,free,2025-09-23,A,canonical,TH-02005,TH-02005,resolved,False
TH 02006,oem a,Ahmet Fährmann,Tannenweg 87,redacted,12,2023-05-19,connected,optimize,2025-08-10,A,format_variant,TH-02006,TH-02006,resolved,False
TH-02007,OEM A,Bogdan Sassenberg,Buchenkamp 121,redacted,80,2023-06-08,connected,care,2025-07-20,A,canonical,TH-02007,TH-02007,resolved,False
TH-02008,OEM A,Manuela Bartels,Im Winkel 143,redacted,80,2023-10-24,connected,free,2025-03-16,A,canonical,TH-02008,TH-02008,resolved,False
th-02009,oem a,Norbert Gebhardt,Mühlenstraße 137,redacted,60,2023-08-08,connected,care,2025-11-04,A,canonical,TH-02009,TH-02009,resolved,False
TH-02010,A,Petra Sassenberg,Gartenstraße 119,redacted,50,24.01.2024,not_connected,free,,A,canonical,TH-02010,TH-02010,resolved,False
th-02011,OEM A,Lothar Ebeling,Gartenstraße 42b,redacted,40,2025-02-02,connected,free,2025-04-10,A,canonical,TH-02011,TH-02011,resolved,False
TH-02012,oem a,Eva Pfefferle,Uferstraße 46a,redacted,22,2023-10-26,connected,optimize,,A,canonical,TH-02012,TH-02012,resolved,False
TH-02013,A,Ahmet Fährmann,Birkenallee 29,redacted,4,13.11.2024,not_connected,optimize,2024-07-13,A,canonical,TH-02013,TH-02013,resolved,False
TH-02014,A,Frank Radtke,Ostpreußenweg 21,redacted,80,2023-10-23,not_connected,free,2024-08-08,A,canonical,TH-02014,TH-02014,resolved,False
TH-02015,A,Wiebke Brinkmann,Erlenring 80a,redacted,50,23.01.2025,connected,optimize,,A,canonical,TH-02015,TH-02015,resolved,False
TH-02016-1,OEM_A,Andreas Niehaus,Lindenhof 35a,redacted,70,2023-02-24,connected,free,2025-01-02,A,suffix_variant,,TH-02016,telemetry_confirmed_suffix,False
TH-02017,OEM A,Manuela Gebhardt,Birkenallee 55,redacted,40,2024-11-02,connected,care,2024-10-17,A,canonical,TH-02017,TH-02017,resolved,False
TH-02018,A,Ingrid Thiemann,Nordring 33,redacted,70,2024-03-12,unknown,free,,A,canonical,TH-02018,TH-02018,resolved,False
TH-02019,OEM_A,Bogdan Radtke,Birkenallee 34b,redacted,50,25.10.2025,connected,free,2026-04-09,A,canonical,TH-02019,TH-02019,resolved,False
th-02020,OEM_A,Heike Grabowski,Uferstraße 39a,redacted,90,16.02.2025,connected,optimize,2025-05-20,A,canonical,TH-02020,TH-02020,resolved,False
th-02021,OEM_A,Norbert Dettmer,Dorfstraße 31,redacted,81,2024-07-03,connected,optimize,2026-03-02,A,canonical,TH-02021,TH-02021,resolved,False
TH-02022,OEM_A,Jens Fährmann,Feldmark 105,redacted,30,2023-10-27,not_connected,free,,A,canonical,TH-02022,TH-02022,resolved,False
02023,oem a,Kerstin Gebhardt,Schulstraße 82,redacted,44,15.01.2026,connected,optimize,2026-02-06,A,digits_only,TH-02023,TH-02023,resolved,False
  TH-02024 ,A,Eva Hillebrand,Im Winkel 31,redacted,40,2023-09-28,unknown,free,2025-01-16,A,canonical,TH-02024,TH-02024,resolved,False
th-02025,OEM_A,Frank Zschiesche,Buchenkamp 129,redacted,13,2025-08-12,connected,free,2024-09-10,A,canonical,TH-02025,TH-02025,resolved,False
TH-02026,OEM_A,Andreas Uhlig,Birkenallee 87,redacted,20,06.06.2025,not_connected,optimize,,A,canonical,TH-02026,TH-02026,resolved,False
02027,OEM_A,Manuela Niehaus,Lindenhof 103,redacted,81,2025-12-19,not_connected,care_plus,,A,digits_only,TH-02027,TH-02027,resolved,False
